OrderDate,Month,Year,ProductName,SubcategoryName,CategoryName,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice,Prefix,FirstName,LastName,Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,HomeOwner,Occupation,Region,Country,Continent,OrderQuantity,OrderQuantity_MA3,OrderQuantity_MA6,OrderQuantity_pct_change
2017-06-01,6,2017,LL Mountain Tire,Tires and Tubes,Accessories,Black,0,0,9.3463,24.99,MR.,REGINALD,MARTIN,57,M,M,60000.0,1,Partial College,Y,Skilled Manual,Australia,Australia,Pacific,3,2.0,2.0,2.0
2017-06-01,6,2017,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,Yellow,XL,U,41.5723,53.99,MR.,JUSTIN,JONES,55,S,M,40000.0,3,High School,Y,Skilled Manual,Southwest,United States,North America,1,1.6666666666666667,1.6666666666666667,-0.6666666666666667
2017-06-01,6,2017,"Touring-3000 Yellow, 44",Touring Bikes,Bikes,Yellow,44,U,461.4448,742.35,MS.,MEAGAN,RAMAN,45,S,F,90000.0,0,Bachelors,Y,Professional,Australia,Australia,Pacific,1,1.6666666666666667,1.6666666666666667,0.0
2017-06-01,6,2017,Patch Kit/8 Patches,Tires and Tubes,Accessories,Black,0,0,0.8565,2.29,MR.,REGINALD,MARTIN,57,M,M,60000.0,1,Partial College,Y,Skilled Manual,Australia,Australia,Pacific,2,1.3333333333333333,1.6666666666666667,1.0
2017-06-01,6,2017,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,0,0,12.0278,33.6442,MRS.,VANESSA,DIAZ,63,S,F,40000.0,3,Partial High School,Y,Clerical,Australia,Australia,Pacific,1,1.3333333333333333,1.5,-0.5
2017-06-01,6,2017,Mountain Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.7363,9.99,MR.,RICHARD,PATTERSON,37,S,M,30000.0,0,High School,N,Skilled Manual,Northwest,United States,North America,3,2.0,1.8333333333333333,2.0
2017-06-01,6,2017,"Road-250 Black, 48",Road Bikes,Bikes,Black,48,U,1320.6838,2181.5625,MR.,JULIO,ALVAREZ,59,M,M,130000.0,2,Partial College,Y,Professional,United Kingdom,United Kingdom,Europe,1,1.6666666666666667,1.5,-0.6666666666666667
2017-06-01,6,2017,Bike Wash - Dissolver,Cleaners,Accessories,Multi,0,0,2.9733,7.95,MR.,WILLIAM,WHITE,83,M,M,120000.0,1,Graduate Degree,Y,Management,Southwest,United States,North America,2,2.0,1.6666666666666667,1.0
2017-06-01,6,2017,"Touring-3000 Yellow, 58",Touring Bikes,Bikes,Yellow,58,U,461.4448,742.35,MRS.,VIRGINIA,GONZALEZ,71,S,F,30000.0,2,Partial College,Y,Clerical,Australia,Australia,Pacific,1,1.3333333333333333,1.6666666666666667,-0.5
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,U,31.7244,48.0673,MRS.,VIRGINIA,GONZALEZ,71,S,F,30000.0,2,Partial College,Y,Clerical,Australia,Australia,Pacific,1,1.3333333333333333,1.5,0.0
2017-06-01,6,2017,Road Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.3623,8.99,MRS.,VIRGINIA,GONZALEZ,71,S,F,30000.0,2,Partial College,Y,Clerical,Australia,Australia,Pacific,2,1.3333333333333333,1.6666666666666667,1.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MRS.,VIRGINIA,GONZALEZ,71,S,F,30000.0,2,Partial College,Y,Clerical,Australia,Australia,Pacific,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,"Short-Sleeve Classic Jersey, S",Jerseys,Clothing,Yellow,S,U,41.5723,53.99,MRS.,VANESSA,DIAZ,63,S,F,40000.0,3,Partial High School,Y,Clerical,Australia,Australia,Pacific,1,1.6666666666666667,1.5,-0.5
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MRS.,VANESSA,DIAZ,63,S,F,40000.0,3,Partial High School,Y,Clerical,Australia,Australia,Pacific,1,1.3333333333333333,1.3333333333333333,0.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MRS.,VANESSA,DIAZ,63,S,F,40000.0,3,Partial High School,Y,Clerical,Australia,Australia,Pacific,3,1.6666666666666667,1.6666666666666667,2.0
2017-06-01,6,2017,"Sport-100 Helmet, Red",Helmets,Accessories,Red,0,0,13.0863,34.99,MR.,TREVOR,DIAZ,69,M,M,40000.0,2,High School,Y,Professional,Canada,Canada,North America,1,1.6666666666666667,1.6666666666666667,-0.6666666666666667
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,TREVOR,DIAZ,69,M,M,40000.0,2,High School,Y,Professional,Canada,Canada,North America,2,2.0,1.6666666666666667,1.0
2017-06-01,6,2017,Mountain Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.7363,9.99,MR.,TREVOR,DIAZ,69,M,M,40000.0,2,High School,Y,Professional,Canada,Canada,North America,2,1.6666666666666667,1.6666666666666667,0.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MR.,TREVOR,DIAZ,69,M,M,40000.0,2,High School,Y,Professional,Canada,Canada,North America,2,2.0,1.8333333333333333,0.0
2017-06-01,6,2017,All-Purpose Bike Stand,Bike Stands,Accessories,Black,0,0,59.466,159.0,MR.,REGINALD,MARTIN,57,M,M,60000.0,1,Partial College,Y,Skilled Manual,Australia,Australia,Pacific,1,1.6666666666666667,1.8333333333333333,-0.5
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MR.,THEODORE,GILL,76,M,M,40000.0,2,Bachelors,Y,Management,Australia,Australia,Pacific,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MS.,TERESA,GUTIERREZ,48,M,F,40000.0,0,Graduate Degree,Y,Clerical,United Kingdom,United Kingdom,Europe,2,1.6666666666666667,1.8333333333333333,0.0
2017-06-01,6,2017,Mountain Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.7363,9.99,MS.,TERESA,GUTIERREZ,48,M,F,40000.0,0,Graduate Degree,Y,Clerical,United Kingdom,United Kingdom,Europe,3,2.3333333333333335,2.0,0.5
2017-06-01,6,2017,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,0,0,12.0278,33.6442,MRS.,TABITHA,SMITH,51,S,F,20000.0,1,High School,N,Manual,United Kingdom,United Kingdom,Europe,1,2.0,1.8333333333333333,-0.6666666666666667
2017-06-01,6,2017,Touring Tire,Tires and Tubes,Accessories,Black,0,0,10.8423,28.99,MRS.,TABITHA,SMITH,51,S,F,20000.0,1,High School,N,Manual,United Kingdom,United Kingdom,Europe,3,2.3333333333333335,2.0,2.0
2017-06-01,6,2017,Touring Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MRS.,TABITHA,SMITH,51,S,F,20000.0,1,High School,N,Manual,United Kingdom,United Kingdom,Europe,3,2.3333333333333335,2.3333333333333335,0.0
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,U,31.7244,48.0673,MR.,SETH,HERNANDEZ,54,M,M,60000.0,3,Graduate Degree,Y,Professional,Northwest,United States,North America,1,2.3333333333333335,2.1666666666666665,-0.6666666666666667
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MR.,SETH,HERNANDEZ,54,M,M,60000.0,3,Graduate Degree,Y,Professional,Northwest,United States,North America,2,2.0,2.1666666666666665,1.0
2017-06-01,6,2017,"Sport-100 Helmet, Red",Helmets,Accessories,Red,0,0,13.0863,34.99,MR.,RYAN,THOMPSON,77,M,M,110000.0,2,Graduate Degree,Y,Management,Canada,Canada,North America,1,1.3333333333333333,1.8333333333333333,-0.5
2017-06-01,6,2017,LL Road Tire,Tires and Tubes,Accessories,Black,0,0,8.0373,21.49,MR.,RYAN,THOMPSON,77,M,M,110000.0,2,Graduate Degree,Y,Management,Canada,Canada,North America,2,1.6666666666666667,2.0,1.0
2017-06-01,6,2017,Road Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.4923,3.99,MR.,RYAN,THOMPSON,77,M,M,110000.0,2,Graduate Degree,Y,Management,Canada,Canada,North America,2,1.6666666666666667,1.8333333333333333,0.0
2017-06-01,6,2017,"Half-Finger Gloves, L",Gloves,Clothing,Black,L,U,9.7136,23.5481,MR.,RYAN,THOMPSON,77,M,M,110000.0,2,Graduate Degree,Y,Management,Canada,Canada,North America,2,2.0,1.6666666666666667,0.0
2017-06-01,6,2017,"Short-Sleeve Classic Jersey, S",Jerseys,Clothing,Yellow,S,U,41.5723,53.99,MR.,RICHARD,PATTERSON,37,S,M,30000.0,0,High School,N,Skilled Manual,Northwest,United States,North America,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MR.,RICHARD,PATTERSON,37,S,M,30000.0,0,High School,N,Skilled Manual,Northwest,United States,North America,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,"Mountain-200 Black, 42",Mountain Bikes,Bikes,Black,42,U,1105.81,2049.0982,MS.,TERESA,GUTIERREZ,48,M,F,40000.0,0,Graduate Degree,Y,Clerical,United Kingdom,United Kingdom,Europe,1,1.3333333333333333,1.6666666666666667,-0.5
2017-06-01,6,2017,Bike Wash - Dissolver,Cleaners,Accessories,Multi,0,0,2.9733,7.95,MR.,JULIO,ALVAREZ,59,M,M,130000.0,2,Partial College,Y,Professional,United Kingdom,United Kingdom,Europe,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,U,31.7244,48.0673,MRS.,JOAN,MORGAN,63,M,F,30000.0,1,High School,Y,Clerical,Northwest,United States,North America,1,1.3333333333333333,1.5,-0.5
2017-06-01,6,2017,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,0,0,12.0278,33.6442,MR.,JULIAN,JENKINS,48,M,M,70000.0,5,Graduate Degree,Y,Professional,Northwest,United States,North America,1,1.3333333333333333,1.3333333333333333,0.0
2017-06-01,6,2017,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,Silver,46,U,1117.8559,2071.4196,MR.,DENNIS,LIN,50,S,M,70000.0,5,Bachelors,Y,Professional,Australia,Australia,Pacific,1,1.0,1.3333333333333333,0.0
2017-06-01,6,2017,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,0,0,12.0278,33.6442,MR.,DENNIS,LIN,50,S,M,70000.0,5,Bachelors,Y,Professional,Australia,Australia,Pacific,1,1.0,1.1666666666666667,0.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MR.,DEANNA,SABELLA,62,M,M,130000.0,3,Partial College,Y,Professional,Germany,Germany,Europe,1,1.0,1.1666666666666667,0.0
2017-06-01,6,2017,"Mountain-200 Black, 38",Mountain Bikes,Bikes,Black,38,U,1105.81,2049.0982,MR.,DEANNA,SABELLA,62,M,M,130000.0,3,Partial College,Y,Professional,Germany,Germany,Europe,1,1.0,1.0,0.0
2017-06-01,6,2017,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,0,0,12.0278,33.6442,MR.,DEANNA,SABELLA,62,M,M,130000.0,3,Partial College,Y,Professional,Germany,Germany,Europe,1,1.0,1.0,0.0
2017-06-01,6,2017,Mountain Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.7363,9.99,MR.,DEANNA,SABELLA,62,M,M,130000.0,3,Partial College,Y,Professional,Germany,Germany,Europe,2,1.3333333333333333,1.1666666666666667,1.0
2017-06-01,6,2017,"Short-Sleeve Classic Jersey, M",Jerseys,Clothing,Yellow,M,U,41.5723,53.99,MR.,DALTON,RICHARDSON,48,M,M,70000.0,5,Graduate Degree,Y,Professional,Northwest,United States,North America,1,1.3333333333333333,1.1666666666666667,-0.5
2017-06-01,6,2017,HL Mountain Tire,Tires and Tubes,Accessories,Black,0,0,13.09,35.0,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,1,1.3333333333333333,1.1666666666666667,0.0
2017-06-01,6,2017,"Mountain-200 Black, 46",Mountain Bikes,Bikes,Black,46,U,1105.81,2049.0982,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,1,1.0,1.1666666666666667,0.0
2017-06-01,6,2017,"Sport-100 Helmet, Red",Helmets,Accessories,Red,0,0,13.0863,34.99,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,1,1.0,1.1666666666666667,0.0
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,2,1.3333333333333333,1.3333333333333333,1.0
2017-06-01,6,2017,Fender Set - Mountain,Fenders,Accessories,Black,0,0,8.2205,21.98,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,2,1.6666666666666667,1.3333333333333333,0.0
2017-06-01,6,2017,Mountain Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.7363,9.99,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,2,2.0,1.5,0.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MR.,CALEB,ZHANG,39,S,M,30000.0,4,Partial College,Y,Clerical,Germany,Germany,Europe,2,2.0,1.6666666666666667,0.0
2017-06-01,6,2017,Road Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.4923,3.99,MRS.,BRIANA,ORTEGA,75,S,F,50000.0,2,Graduate Degree,N,Management,Australia,Australia,Pacific,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,LL Road Tire,Tires and Tubes,Accessories,Black,0,0,8.0373,21.49,MRS.,BRIANA,ORTEGA,75,S,F,50000.0,2,Graduate Degree,N,Management,Australia,Australia,Pacific,2,1.6666666666666667,1.8333333333333333,1.0
2017-06-01,6,2017,Patch Kit/8 Patches,Tires and Tubes,Accessories,Black,0,0,0.8565,2.29,MRS.,BRIANA,ORTEGA,75,S,F,50000.0,2,Graduate Degree,N,Management,Australia,Australia,Pacific,2,1.6666666666666667,1.8333333333333333,0.0
2017-06-01,6,2017,"Women's Mountain Shorts, S",Shorts,Clothing,Black,S,W,26.1763,69.99,MR.,BRIAN,PETERSON,45,M,M,40000.0,1,Graduate Degree,Y,Skilled Manual,Canada,Canada,North America,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MR.,BRIAN,PETERSON,45,M,M,40000.0,1,Graduate Degree,Y,Skilled Manual,Canada,Canada,North America,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,"Road-550-W Yellow, 48",Road Bikes,Bikes,Yellow,48,W,605.6492,1000.4375,MRS.,ALISHA,ALAN,44,M,F,40000.0,1,Bachelors,Y,Skilled Manual,France,France,Europe,1,1.3333333333333333,1.5,-0.5
2017-06-01,6,2017,"Mountain-200 Black, 42",Mountain Bikes,Bikes,Black,42,U,1105.81,2049.0982,MRS.,ALEXANDRIA,BARNES,62,M,F,80000.0,3,Partial College,N,Professional,Northwest,United States,North America,1,1.3333333333333333,1.5,0.0
2017-06-01,6,2017,Fender Set - Mountain,Fenders,Accessories,Black,0,0,8.2205,21.98,MR.,ALEX,STEWART,64,M,M,20000.0,2,High School,N,Manual,Canada,Canada,North America,2,1.3333333333333333,1.5,1.0
2017-06-01,6,2017,Patch Kit/8 Patches,Tires and Tubes,Accessories,Black,0,0,0.8565,2.29,MR.,ALEX,STEWART,64,M,M,20000.0,2,High School,N,Manual,Canada,Canada,North America,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,"Road-350-W Yellow, 44",Road Bikes,Bikes,Yellow,44,W,1082.51,1700.99,MR.,ADAM,LONG,65,S,M,40000.0,3,Partial College,Y,Professional,Southwest,United States,North America,1,1.6666666666666667,1.5,-0.5
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,U,31.7244,48.0673,MR.,ADAM,LONG,65,S,M,40000.0,3,Partial College,Y,Professional,Southwest,United States,North America,1,1.3333333333333333,1.3333333333333333,0.0
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MR.,ADAM,LONG,65,S,M,40000.0,3,Partial College,Y,Professional,Southwest,United States,North America,2,1.3333333333333333,1.5,1.0
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,U,31.7244,48.0673,MR.,JULIAN,JENKINS,48,M,M,70000.0,5,Graduate Degree,Y,Professional,Northwest,United States,North America,1,1.3333333333333333,1.5,-0.5
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MRS.,DOMINIQUE,PRASAD,66,M,F,80000.0,4,High School,Y,Professional,France,France,Europe,2,1.6666666666666667,1.5,1.0
2017-06-01,6,2017,Road Bottle Cage,Bottles and Cages,Accessories,Black,0,0,3.3623,8.99,MRS.,DOMINIQUE,PRASAD,66,M,F,80000.0,4,High School,Y,Professional,France,France,Europe,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,"Road-750 Black, 58",Road Bikes,Bikes,Black,58,U,343.6496,539.99,MRS.,BRIANA,ORTEGA,75,S,F,50000.0,2,Graduate Degree,N,Management,Australia,Australia,Pacific,1,1.6666666666666667,1.5,-0.5
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,ELIJAH,COLLINS,55,M,M,120000.0,1,High School,Y,Professional,Southwest,United States,North America,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,JULIAN,JENKINS,48,M,M,70000.0,5,Graduate Degree,Y,Professional,Northwest,United States,North America,2,1.6666666666666667,1.6666666666666667,0.0
2017-06-01,6,2017,"Road-750 Black, 44",Road Bikes,Bikes,Black,44,U,343.6496,539.99,MRS.,DOMINIQUE,PRASAD,66,M,F,80000.0,4,High School,Y,Professional,France,France,Europe,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,Yellow,46,U,1481.9379,2384.07,MR.,JORDAN,TURNER,71,M,M,100000.0,2,Bachelors,Y,Management,France,France,Europe,1,1.3333333333333333,1.5,0.0
2017-06-01,6,2017,"Sport-100 Helmet, Black",Helmets,Accessories,Black,0,0,12.0278,33.6442,MR.,JORDAN,TURNER,71,M,M,100000.0,2,Bachelors,Y,Management,France,France,Europe,1,1.0,1.3333333333333333,0.0
2017-06-01,6,2017,Touring Tire,Tires and Tubes,Accessories,Black,0,0,10.8423,28.99,MR.,JORDAN,TURNER,71,M,M,100000.0,2,Bachelors,Y,Management,France,France,Europe,2,1.3333333333333333,1.5,1.0
2017-06-01,6,2017,Touring Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,JORDAN,TURNER,71,M,M,100000.0,2,Bachelors,Y,Management,France,France,Europe,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MR.,JORDAN,TURNER,71,M,M,100000.0,2,Bachelors,Y,Management,France,France,Europe,2,2.0,1.5,0.0
2017-06-01,6,2017,Water Bottle - 30 oz.,Bottles and Cages,Accessories,Multi,0,0,1.8663,4.99,MR.,JORDAN,GONZALES,76,S,M,50000.0,4,Bachelors,Y,Management,Canada,Canada,North America,2,2.0,1.6666666666666667,0.0
2017-06-01,6,2017,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,Silver,38,U,1117.8559,2071.4196,MR.,JONATHAN,BAKER,55,M,M,70000.0,1,Partial College,Y,Skilled Manual,Northwest,United States,North America,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,"Touring-2000 Blue, 50",Touring Bikes,Bikes,Blue,50,U,755.1508,1214.85,MR.,JOE,DIAZ,46,S,M,30000.0,0,High School,N,Manual,Germany,Germany,Europe,1,1.3333333333333333,1.6666666666666667,0.0
